  1   1.46130E-02  -2.92259E-02  -1.93212E+01  -1.85804E+01
  2  -2.92259E-02  -1.81472E-02  -1.85804E+01  -1.78467E+01
  3  -1.81472E-02  -2.17897E-02  -1.78467E+01  -1.71173E+01
  4  -2.17897E-02  -2.14905E-02  -1.71173E+01  -1.63931E+01
  5  -2.14905E-02  -2.22463E-02  -1.63931E+01  -1.56741E+01
  6  -2.22463E-02  -2.27134E-02  -1.56741E+01  -1.49604E+01
  7  -2.27134E-02  -2.32457E-02  -1.49604E+01  -1.42522E+01
  8  -2.32457E-02  -2.37412E-02  -1.42522E+01  -1.35496E+01
  9  -2.37412E-02  -2.42183E-02  -1.35496E+01  -1.28526E+01
 10  -2.42183E-02  -2.46613E-02  -1.28526E+01  -1.21615E+01
 11  -2.46613E-02  -2.50615E-02  -1.21615E+01  -1.14763E+01
 12  -2.50615E-02  -2.54057E-02  -1.14763E+01  -1.07971E+01
 13  -2.54057E-02  -2.56787E-02  -1.07971E+01  -1.01240E+01
 14  -2.56787E-02  -2.58623E-02  -1.01240E+01  -9.45709E+00
 15  -2.58623E-02  -2.59347E-02  -9.45709E+00  -8.79637E+00
 16  -2.59347E-02  -2.58697E-02  -8.79637E+00  -8.14187E+00
 17  -2.58697E-02  -2.56362E-02  -8.14187E+00  -7.49358E+00
 18  -2.56362E-02  -2.51970E-02  -7.49358E+00  -6.85144E+00
 19  -2.51970E-02  -2.45075E-02  -6.85144E+00  -6.21534E+00
 20  -2.45075E-02  -2.35146E-02  -6.21534E+00  -5.58513E+00
 21  -2.35146E-02  -2.21544E-02  -5.58513E+00  -4.96057E+00
 22  -2.21544E-02  -2.03503E-02  -4.96057E+00  -4.34132E+00
 23  -2.03503E-02  -1.80104E-02  -4.34132E+00  -3.72695E+00
 24  -1.80104E-02  -1.50236E-02  -3.72695E+00  -3.11691E+00
 25  -1.50236E-02  -1.12556E-02  -3.11691E+00  -2.51047E+00
 26  -1.12556E-02  -6.54378E-03  -2.51047E+00  -1.90674E+00
 27  -6.54378E-03  -6.90518E-04  -1.90674E+00  -1.30457E+00
 28  -6.90518E-04   6.54438E-03  -1.30457E+00  -7.02574E-01
 29   6.54438E-03   1.54523E-02  -7.02574E-01  -9.90038E-02
 30   1.54523E-02   2.63848E-02  -9.90038E-02   5.08275E-01
 31   2.63848E-02   3.97599E-02   5.08275E-01   1.12189E+00
 32   3.97599E-02   5.60625E-02   1.12189E+00   1.74504E+00
 33   5.60625E-02   7.58259E-02   1.74504E+00   2.38165E+00
 34   7.58259E-02   9.95773E-02   2.38165E+00   3.03645E+00
 35   9.95773E-02   1.27708E-01   3.03645E+00   3.71516E+00
 36   1.27708E-01   1.60207E-01   3.71516E+00   4.42451E+00
 37   1.60207E-01   1.96165E-01   4.42451E+00   5.17232E+00
 38   1.96165E-01   2.32939E-01   5.17232E+00   5.96720E+00
 39   2.32939E-01   2.64985E-01   5.96720E+00   6.81799E+00
 40   2.64985E-01   2.82691E-01   6.81799E+00   7.73238E+00
 41   2.82691E-01   2.72481E-01   7.73238E+00   8.71461E+00
 42   2.72481E-01   2.20588E-01   8.71461E+00   9.76224E+00
 43   2.20588E-01   1.23271E-01   9.76224E+00   1.08628E+01
 44   1.23271E-01   5.64105E-05   1.08628E+01   1.19930E+01
 45   5.64105E-05  -1.01669E-01   1.19930E+01   1.31231E+01
 46  -1.01669E-01  -1.45351E-01   1.31231E+01   1.42289E+01
 47  -1.45351E-01  -1.12670E-01   1.42289E+01   1.52998E+01
 48  -1.12670E-01  -1.25510E-01   1.52998E+01   1.63436E+01
 49  -1.25510E-01   4.14471E-02   1.63436E+01   1.73573E+01
 50   4.14471E-02  -2.07236E-02   1.73573E+01   1.83810E+01
